40, -50, -30, 40, -50, -30, 
39.8829, -50.0065, -29.2194, 40.2667, -49.4471, -30, 
39.2564, -49.2768, -29.282, 40.2906, -49.2778, -29.7952, 
38.9205, -48.88, -28.7028, 40.4894, -49.4281, -29.2189, 
38.679, -48.3747, -28.1806, 40.0562, -49.0303, -28.9585, 
38.1911, -47.6524, -28.1796, 40.3325, -49.1339, -28.5669, 
38.0149, -47.0335, -27.8416, 40.4074, -48.5892, -28.1553, 
37.9824, -46.4223, -27.8423, 39.9935, -47.98, -27.8675, 
38.0594, -46.2656, -28.2697, 39.3646, -47.5888, -27.3793, 
37.5834, -45.9783, -28.019, 39.3327, -46.8016, -27.4643, 
36.9869, -45.6505, -27.6531, 39.1162, -46.4876, -26.9569, 
36.9778, -45.2815, -26.9119, 38.687, -46.4179, -27.3109, 
37.0547, -45.0772, -26.6333, 37.9284, -45.9194, -27.0854, 
36.6567, -44.5317, -26.149, 37.9386, -45.6498, -26.5989, 
35.8742, -44.5687, -25.7179, 38.1458, -45.7023, -26.2054, 
35.2992, -44.7406, -25.4314, 37.5836, -45.3828, -25.8317, 
34.7976, -44.537, -25.1889, 36.8406, -45.3049, -25.5317, 
34.345, -43.8696, -24.7449, 36.4722, -45.2981, -25.4023, 
33.8901, -43.3111, -24.5003, 36.1173, -44.7987, -25.1876, 
33.0668, -43.586, -24.4023, 35.9543, -44.3745, -25.3619, 
32.3247, -43.5654, -24.6861, 35.5959, -43.8931, -25.2714, 
32.17, -43.573, -24.16, 35.8514, -43.3554, -24.6841, 
31.5796, -43.3532, -24.303, 35.9767, -42.6067, -24.7648, 
31.1068, -42.7484, -23.9188, 35.7161, -42.2091, -24.9574, 
30.6789, -42.268, -23.8957, 35.5127, -41.6381, -25.4243, 
30.4657, -42.501, -23.4031, 34.9926, -41.0393, -25.5931, 
30.3165, -41.8011, -22.8677, 34.7291, -40.9629, -25.2382, 
30.0907, -41.1592, -23.0827, 34.2121, -40.5046, -25.1224, 
30.3893, -40.8827, -23.1548, 34.081, -40.371, -24.2313, 
30.5265, -40.3178, -23.5731, 34.0005, -39.7962, -23.8437, 
30.5231, -39.6821, -23.4452, 33.8307, -39.2815, -23.3091, 
30.5521, -39.3211, -22.943, 33.3649, -38.7868, -23.7027, 
30.3802, -38.6326, -23.3125, 33.2007, -38.5421, -23.1801, 
30.4028, -38.2655, -22.6094, 33.3747, -38.1318, -22.7658, 
30.0703, -37.6832, -23.0473, 32.9434, -38.0979, -22.3517, 
29.4018, -37.4604, -23.1314, 32.5782, -37.5066, -22.2367, 
28.8857, -37.1451, -22.5777, 32.1057, -37.1854, -22.2019, 
28.6147, -36.4385, -22.4198, 32.4957, -37.5662, -21.8773, 
28.2866, -35.8146, -22.147, 31.8511, -37.6771, -21.9051, 
27.7273, -35.5796, -22.1837, 31.2299, -37.593, -21.4176, 
27.2502, -35.001, -22.09, 30.6715, -37.2837, -21.2717, 
26.9152, -35.0566, -22.2129, 30.377, -36.6458, -20.6586, 
27.3096, -34.4049, -22.5975, 30.4272, -36.2396, -20.3356, 
27.3391, -34.2197, -21.9574, 30.7458, -35.5829, -20.4847, 
27.4566, -33.6118, -21.577, 30.2682, -35.3461, -20.0512, 
27.8082, -34.0203, -21.2469, 30.3532, -34.7424, -19.5728, 
28.2129, -33.8484, -21.4616, 29.9174, -34.02, -19.3519, 
27.6637, -33.6274, -21.6801, 29.9974, -33.3216, -19.0238, 
27.6148, -33.3291, -21.0364, 30.1076, -32.6291, -19.075, 
27.9258, -33.4444, -20.5547, 29.9896, -31.9338, -19.4758, 
28.0638, -33.3957, -19.903, 30.3759, -31.4891, -19.021, 
27.6991, -33.5188, -19.4702, 30.2542, -30.8015, -19.4417, 
27.4686, -33.5575, -19.5525, 30.3557, -29.9916, -18.9198, 
27.5733, -33.3937, -19.2225, 29.941, -29.359, -18.3895, 
27.4198, -33.4251, -18.9935, 29.7406, -28.5, -18.7703, 
27.1482, -33.8085, -18.7726, 29.8531, -28.1331, -18.0067, 
26.4847, -33.7009, -18.2368, 30.088, -27.7892, -18.3027, 
26.1074, -34.0765, -18.0947, 30.255, -26.9802, -18.4211, 
25.6076, -34.0955, -18.4384, 29.7352, -26.5635, -17.9877, 
24.6918, -34.1557, -18.4453, 29.9839, -26.2743, -17.8773, 
24.1901, -34.3597, -17.9743, 29.6971, -25.6404, -17.8488, 
24.141, -33.793, -17.3439, 29.5488, -25.3843, -17.4113, 
23.7513, -33.2081, -16.9138, 28.9995, -25.5203, -17.4388, 
23.753, -33.0044, -16.3705, 28.8182, -24.7356, -17.3172, 
23.4647, -32.5636, -16.1774, 28.2892, -24.2382, -16.9196, 
23.575, -32.5723, -15.6958, 28.2636, -23.3968, -16.7021, 
23.4597, -32.1461, -14.9206, 28.6392, -23.6382, -16.7709, 
22.9102, -31.4995, -14.5837, 28.9263, -23.8963, -16.6384, 
22.3389, -31.58, -13.9608, 28.5217, -23.605, -16.8133, 
22.4384, -31.0876, -13.3199, 28.8167, -23.1052, -16.822, 
22.7541, -31.2704, -12.7845, 28.3648, -22.5548, -17.0925, 
22.7481, -31.1158, -12.7221, 28.5384, -21.6601, -17.4687, 
22.3329, -30.7268, -12.6018, 28.096, -21.2024, -16.9621, 
22.1664, -30.4342, -12.9409, 28.1361, -20.5046, -16.43, 
22.2, -29.8425, -12.4352, 28.1649, -20.0354, -16.0152, 
22.4764, -30.1055, -11.9655, 28.3844, -19.3645, -15.6471, 
21.9047, -30.15, -11.5974, 28.4207, -18.6707, -15.4167, 
21.8324, -29.7737, -11.1438, 27.7401, -18.2805, -15.5958, 
22.015, -29.1733, -10.5924, 27.7586, -17.8929, -15.2065, 
22.144, -28.9308, -10.1137, 28.0362, -17.1361, -15.4199, 
22.1191, -28.5173, -10.0351, 27.3582, -16.6554, -15.0575, 
22.5699, -28.7861, -10.0348, 26.8843, -16.2128, -14.506, 
22.1055, -28.6756, -9.62385, 26.2915, -15.7908, -14.2346, 
21.5857, -28.0118, -9.20471, 26.2348, -15.5233, -14.0377, 
21.4199, -27.3333, -9.67322, 26.3262, -15.3695, -13.5272, 
21.8747, -26.8416, -9.17887, 26.642, -15.2812, -13.0806, 
21.4131, -26.4991, -8.85613, 26.1237, -15.646, -12.6759, 
21.3183, -25.8949, -9.12136, 26.647, -15.8624, -12.1912, 
21.1499, -25.1295, -8.53591, 26.6972, -15.9267, -12.0001, 
21.216, -24.3819, -8.15112, 27.0354, -15.5315, -11.8657, 
21.5593, -23.8318, -8.48961, 26.7377, -15.0067, -11.548, 
21.7822, -23.6627, -8.45315, 27.0647, -14.422, -10.8613, 
21.5048, -23.3997, -8.34123, 26.4724, -14.6776, -10.2093, 
21.622, -23.9262, -8.24269, 26.3815, -14.5327, -9.3907, 
20.925, -23.6875, -7.93912, 26.3958, -14.067, -9.00604, 
20.517, -23.4172, -7.38191, 26.5878, -14.1638, -8.37059, 
20.4398, -23.219, -7.7603, 26.8184, -14.5115, -7.57215, 
20.3603, -23.3315, -7.1608, 27.0557, -14.2944, -6.85229, 
20.5765, -22.6805, -6.79226, 26.5959, -13.8964, -6.69805, 
20.741, -22.0356, -6.57363, 26.7861, -13.2307, -6.52532, 
20.2478, -21.3573, -6.70639, 27.1153, -13.6098, -6.36133, 
19.953, -20.8663, -6.81162, 26.5969, -13.2784, -5.83, 
19.3858, -20.3822, -6.41046, 26.3512, -13.3981, -5.37365, 
19.0819, -19.9071, -5.68889, 26.508, -13.7043, -5.16627, 
19.201, -19.818, -5.0103, 26.6314, -13.9983, -4.52152, 
19.2654, -19.2528, -4.68237, 26.5442, -13.4439, -4.01766, 
19.2635, -18.8, -4.40981, 26.4558, -12.7855, -3.48907, 
19.7544, -18.4537, -4.62422, 26.851, -13.1566, -2.94207, 
