40, -50, -30, 40, -50, -30, 
39.5331, -49.5139, -30.0768, 39.6482, -50.2494, -29.4052, 
39.3031, -48.9617, -29.8293, 38.9443, -50.138, -29.1349, 
38.9506, -48.5684, -30.0748, 38.6468, -49.4301, -28.8683, 
38.1449, -48.1107, -30.2151, 38.6874, -49.1139, -29.0099, 
37.9538, -47.6848, -30.1951, 38.4733, -48.4349, -28.4856, 
37.5012, -47.1029, -30.0419, 37.9924, -48.1152, -28.17, 
37.1416, -46.4839, -30.005, 37.6946, -47.6062, -27.7981, 
36.862, -46.247, -29.5868, 37.3283, -46.9169, -28.0836, 
36.9789, -46.3135, -29.8285, 36.6367, -46.2623, -28.2127, 
36.794, -45.9023, -29.3986, 35.8883, -46.2961, -27.9879, 
36.9666, -45.5703, -29.4329, 35.2654, -45.8477, -27.4684, 
36.4987, -44.9666, -29.6374, 34.92, -45.5731, -27.0441, 
36.8699, -44.9068, -29.1676, 34.2307, -45.7938, -26.7063, 
37.118, -44.6207, -28.7057, 33.6841, -45.2159, -26.8092, 
37.185, -44.3028, -28.1142, 32.9467, -45.1943, -26.7915, 
37.4616, -44.0176, -27.4598, 33.028, -44.7477, -26.3357, 
37.2119, -43.3908, -27.2234, 32.7545, -44.2028, -25.9935, 
36.7085, -43.1865, -26.8213, 32.3543, -43.7078, -25.6219, 
36.7684, -42.836, -26.3624, 31.8457, -43.4475, -25.0418, 
36.6831, -42.5616, -25.649, 31.7525, -42.8786, -24.7659, 
36.3391, -42.6796, -25.5479, 31.0865, -42.3332, -25.1072, 
35.8123, -42.339, -25.1954, 30.5816, -42.4026, -24.6356, 
35.7525, -41.8861, -24.5241, 30.4136, -42.3758, -24.0773, 
35.3287, -42.1614, -24.4038, 29.7588, -41.8311, -24.0081, 
34.9506, -41.6332, -24.0002, 29.383, -41.3252, -24.1421, 
34.2427, -41.1177, -23.6491, 29.702, -41.24, -24.1115, 
34.4132, -40.4418, -23.231, 29.6848, -40.7225, -24.3783, 
34.3195, -39.9512, -22.5792, 29.7649, -41.0039, -23.8882, 
33.7382, -39.3154, -22.4121, 29.7559, -41.0911, -23.4168, 
33.1064, -39.1537, -22.5567, 29.8078, -40.6145, -22.8477, 
33.3829, -38.5304, -22.9273, 29.7418, -40.4525, -22.2417, 
33.4777, -37.6689, -22.8462, 29.9072, -40.4651, -22.7051, 
33.8795, -36.9624, -22.7298, 29.7505, -40.6696, -22.1956, 
33.8046, -36.3807, -22.1145, 29.6472, -40.6133, -21.6823, 
33.6411, -36.1145, -21.4546, 29.7615, -40.6818, -21.0121, 
33.2983, -35.9204, -21.1821, 29.2453, -40.4906, -20.3284, 
32.835, -35.4216, -20.4984, 29.288, -40.4243, -20.5791, 
32.8884, -34.8646, -20.4242, 28.8513, -39.8243, -20.2175, 
32.1993, -34.6394, -20.0103, 28.5913, -39.3442, -20.1467, 
31.837, -34.5731, -19.3441, 28.8242, -38.9125, -19.7225, 
